"objectid","oberflur_nummer","art_txt","subart_txt","verlegejahr","eigentuemer_txt","geometry"
"257","","Unterflurhydrant","Zweiarmig","1971","öffentlich","POINT (2678603.8 1251218.6)"
"258","","Unterflurhydrant","Zweiarmig","1968","öffentlich","POINT (2682751.5 1250616.5)"
"259","","Unterflurhydrant","Zweiarmig","1966","öffentlich","POINT (2682428.8 1250760.8)"
"260","","Unterflurhydrant","Zweiarmig","1966","öffentlich","POINT (2682423.8 1250830.9)"
"261","","Unterflurhydrant","Zweiarmig","1966","öffentlich","POINT (2682418.5 1250897.5)"
"262","","Unterflurhydrant","Zweiarmig","1968","öffentlich","POINT (2678339 1250616.1)"
"263","","Unterflurhydrant","Zweiarmig","1971","öffentlich","POINT (2680477 1251597.6)"
"264","","Unterflurhydrant","Zweiarmig","1971","öffentlich","POINT (2680527.5 1251623.9)"
"265","","Unterflurhydrant","Zweiarmig","1972","öffentlich","POINT (2680516.2 1251686)"
"266","","Unterflurhydrant","Zweiarmig","1971","öffentlich","POINT (2678469.5 1251277.4)"
"267","","Unterflurhydrant","Zweiarmig","1971","öffentlich","POINT (2678433.2 1251350.1)"
"268","2502","Oberflurhydrant","Zweiarmig","1992","öffentlich","POINT (2678525.2 1251485.1)"
"269","","Unterflurhydrant","Zweiarmig","1973","öffentlich","POINT (2680383 1250953.6)"
"270","","Unterflurhydrant","Zweiarmig","1973","öffentlich","POINT (2680405.8 1251020.6)"
"271","","Unterflurhydrant","Zweiarmig","1973","öffentlich","POINT (2680453 1250997.2)"
"272","","Unterflurhydrant","Zweiarmig","1973","öffentlich","POINT (2680461.5 1250976.2)"
"273","","Unterflurhydrant","Zweiarmig","1971","öffentlich","POINT (2680582.2 1250925.5)"
"274","","Unterflurhydrant","Zweiarmig","1971","öffentlich","POINT (2680442 1251128)"
"275","","Unterflurhydrant","Zweiarmig","1971","öffentlich","POINT (2680409.5 1251142)"
"276","","Unterflurhydrant","Zweiarmig","1971","öffentlich","POINT (2680391.5 1251216)"
"277","","Unterflurhydrant","Zweiarmig","1988","öffentlich","POINT (2683624 1251759.9)"
"278","1754","Oberflurhydrant","Zweiarmig","1985","öffentlich","POINT (2683625 1251485.1)"
"279","1755","Oberflurhydrant","Zweiarmig","1985","öffentlich","POINT (2683602.2 1251530.9)"
"280","","Unterflurhydrant","Zweiarmig","1978","öffentlich","POINT (2683394.5 1251637.9)"
"281","1720","Oberflurhydrant","Zweiarmig","1991","öffentlich","POINT (2678513.2 1251991.4)"
"282","","Unterflurhydrant","Zweiarmig","1979","öffentlich","POINT (2678640.2 1251704.9)"
"283","","Unterflurhydrant","Zweiarmig","1979","öffentlich","POINT (2678719 1251866.4)"
